Part number,labels,Emotion_Category,@attribute loudness_sma3_amean numeric,@attribute loudness_sma3_meanFallingSlope numeric,@attribute mfcc1_sma3_amean numeric
1,1,admiration,"0.188,","2.12,",24.6
2,1,admiration,"0.463,","6.13,",29.1
3,1,admiration,"0.268,","2.16,",27.5
6,1,admiration,"0.0564,","0.403,",32.5
7,1,admiration,"0.238,","1.62,",20.5
8,1,admiration,"0.0675,","0.675,",24.2
13,1,admiration,"0.212,","2.19,",21.2
14,1,admiration,"0.332,","3.01,",29.5
15,1,admiration,"0.309,","2.61,",23
17,1,admiration,"0.352,","3.93,",24.4
18,1,admiration,"0.34,","3.08,",26.9
19,1,admiration,"0.293,","2.51,",29.3
20,1,admiration,"0.163,","1.28,",24.9
22,1,admiration,"0.139,","1.35,",25.1
23,1,admiration,"0.095,","0.962,",18.7
24,1,admiration,"0.199,","2.02,",23.9
26,1,admiration,"0.19,","1.74,",23.7
27,1,admiration,"0.46,","5.04,",22.6
29,1,admiration,"0.182,","2.37,",23.9
30,1,admiration,"0.23,","2.87,",22
33,1,admiration,"0.141,","1.18,",20.4
34,1,admiration,"0.277,","2.29,",24.9
35,1,admiration,"0.265,","3.48,",20.6
36,1,admiration,"0.741,","8.42,",19.1
37,1,admiration,"0.277,","2.49,",27.4
38,1,admiration,"0.256,","3.32,",22.6
39,1,admiration,"0.346,","3.43,",28.3
40,1,admiration,"0.342,","4.06,",21.2
41,1,admiration,"0.879,","8.96,",28.5
44,1,admiration,"0.935,","11.4,",24.1
45,1,admiration,"0.288,","1.44,",27
47,1,admiration,"0.342,","4.01,",22.9
49,1,admiration,"0.6,","6.95,",16.8
52,1,admiration,"1.71,","16.1,",28.2
54,1,admiration,"0.554,","2.96,",20.2
55,1,admiration,"0.717,","8.39,",22.3
56,1,admiration,"1.36,","16.9,",26.7
57,1,admiration,"0.982,","10.3,",31.3
58,1,admiration,"1.24,","15.3,",21.4
62,1,admiration,"0.513,","11.7,",22.4
63,1,admiration,"1.06,","9.54,",28.2
64,1,admiration,"0.832,","6.98,",25.9
65,1,admiration,"0.633,","7.35,",26.9
67,1,admiration,"0.772,","9.26,",24
68,1,admiration,"0.748,","6.51,",26.8
71,1,admiration,"0.859,","8.99,",22.8
73,1,admiration,"1.62,","17.3,",28.5
74,1,admiration,"1.26,","16.4,",19.3
76,1,admiration,"1.85,","24.4,",25.8
77,1,admiration,"2.14,","21.2,",23.6
78,1,admiration,"0.803,","10.5,",17.1
79,1,admiration,"1.85,","20.8,",23.9
80,1,admiration,"1.02,","13.8,",22.4
81,1,admiration,"1.9,","22.0,",29.7
83,1,admiration,"1.06,","16.0,",23.6
85,1,admiration,"1.43,","13.8,",32.3
86,1,admiration,"2.35,","24.4,",19.5
87,1,admiration,"2.37,","28.7,",25.2
88,1,admiration,"0.99,","11.4,",24.5
89,1,admiration,"2.32,","23.9,",26.9
90,1,admiration,"2.81,","28.1,",29.1
91,1,admiration,"2.25,","23.4,",26.8
92,1,admiration,"1.77,","17.9,",18.6
96,1,admiration,"1.49,","14.8,",25.8
97,1,admiration,"1.85,","20.2,",23.9
98,1,admiration,"1.92,","21.2,",20.1
101,1,admiration,"1.68,","20.7,",24.6
102,1,admiration,"2.22,","31.4,",31.7
103,1,admiration,"2.78,","32.7,",21.7
104,1,admiration,"1.79,","14.5,",22.7
105,1,admiration,"2.14,","23.4,",26.2
107,1,admiration,"2.2,","28.2,",22.9
108,1,admiration,"2.89,","24.6,",25.6
109,1,admiration,"1.51,","17.7,",21.3
110,1,admiration,"1.8,","22.8,",23
113,1,admiration,"2.44,","28.9,",25.5
115,1,admiration,"1.48,","15.1,",20.7
119,1,admiration,"3.27,","29.0,",21.4
120,1,admiration,"3.13,","36.8,",21.9
121,1,admiration,"1.88,","23.6,",25.9
122,1,admiration,"1.45,","11.3,",22.4
124,1,admiration,"3.54,","39.6,",22.3
125,1,admiration,"2.7,","26.9,",16.1
126,1,admiration,"1.51,","25.5,",23.4
128,1,admiration,"1.91,","18.7,",26.4
129,1,admiration,"4.05,","43.0,",24.6
131,1,admiration,"2.42,","47.4,",23.6
133,1,admiration,"2.1,","20.5,",24.6
137,1,admiration,"1.29,","10.0,",22.9
138,1,admiration,"1.91,","21.0,",27.7
140,1,admiration,"1.43,","13.9,",23.9
143,1,admiration,"0.869,","11.8,",25.8
146,1,admiration,"1.94,","22.8,",25.4
147,1,admiration,"2.29,","25.4,",24.2
150,1,admiration,"2.06,","25.8,",21.8
154,1,admiration,"2.73,","28.9,",17.3
157,1,admiration,"1.73,","20.1,",27
158,1,admiration,"1.77,","22.2,",22.8
164,1,admiration,"1.07,","9.1,",25.1
166,1,admiration,"1.44,","10.7,",22.2
167,1,admiration,"1.41,","15.2,",22.6
169,1,admiration,"2.12,","18.4,",23.3
170,1,admiration,"1.84,","16.7,",21.3
171,1,admiration,"3.04,","29.0,",27.8
172,1,admiration,"1.59,","19.6,",22.6
